Country,Year,Month,age,Value
Belgium,2011,04 ,TOTAL,2027.5999999999997
Belgium,2011,04 ,Y25-74,1589.8999999999999
Belgium,2011,04 ,Y_LT25,592.1
Belgium,2011,05 ,TOTAL,2037.8999999999999
Belgium,2011,05 ,Y25-74,1605.1
Belgium,2011,05 ,Y_LT25,592.1
Belgium,2011,06 ,TOTAL,2082.3
Belgium,2011,06 ,Y25-74,1625.8000000000002
Belgium,2011,06 ,Y_LT25,592.1
Belgium,2011,07 ,TOTAL,2255.5
Belgium,2011,07 ,Y25-74,1690.2999999999997
Belgium,2011,07 ,Y_LT25,752.3
Belgium,2011,08 ,TOTAL,2313.6000000000004
Belgium,2011,08 ,Y25-74,1722.4000000000003
Belgium,2011,08 ,Y_LT25,752.3
Belgium,2011,09 ,TOTAL,2261.1
Belgium,2011,09 ,Y25-74,1714.3
Belgium,2011,09 ,Y_LT25,752.3
Belgium,2011,10 ,TOTAL,2166.0
Belgium,2011,10 ,Y25-74,1703.0000000000002
Belgium,2011,10 ,Y_LT25,579.8
Belgium,2011,11 ,TOTAL,2114.3
Belgium,2011,11 ,Y25-74,1688.5000000000002
Belgium,2011,11 ,Y_LT25,579.8
Belgium,2011,12 ,TOTAL,2098.0
Belgium,2011,12 ,Y25-74,1675.9999999999998
Belgium,2011,12 ,Y_LT25,579.8
Belgium,2012,01 ,TOTAL,2150.5
Belgium,2012,01 ,Y25-74,1678.9
Belgium,2012,01 ,Y_LT25,633.3
Belgium,2012,02 ,TOTAL,2161.8
Belgium,2012,02 ,Y25-74,1675.0
Belgium,2012,02 ,Y_LT25,633.3
Belgium,2012,03 ,TOTAL,2148.4
Belgium,2012,03 ,Y25-74,1680.0999999999997
Belgium,2012,03 ,Y_LT25,633.3
Belgium,2012,04 ,TOTAL,2152.5
Belgium,2012,04 ,Y25-74,1717.3
Belgium,2012,04 ,Y_LT25,579.2
Belgium,2012,05 ,TOTAL,2164.7
Belgium,2012,05 ,Y25-74,1736.6999999999998
Belgium,2012,05 ,Y_LT25,579.2
Belgium,2012,06 ,TOTAL,2169.9
Belgium,2012,06 ,Y25-74,1735.5999999999997
Belgium,2012,06 ,Y_LT25,579.2
Belgium,2012,07 ,TOTAL,2231.6
Belgium,2012,07 ,Y25-74,1746.7
Belgium,2012,07 ,Y_LT25,705.8000000000001
Belgium,2012,08 ,TOTAL,2302.5
Belgium,2012,08 ,Y25-74,1767.2
Belgium,2012,08 ,Y_LT25,705.8000000000001
Belgium,2012,09 ,TOTAL,2359.8
Belgium,2012,09 ,Y25-74,1797.9999999999998
Belgium,2012,09 ,Y_LT25,705.8000000000001
Belgium,2012,10 ,TOTAL,2457.6
Belgium,2012,10 ,Y25-74,1872.6
Belgium,2012,10 ,Y_LT25,765.9999999999999
Belgium,2012,11 ,TOTAL,2520.3
Belgium,2012,11 ,Y25-74,1938.3999999999999
Belgium,2012,11 ,Y_LT25,765.9999999999999
Belgium,2012,12 ,TOTAL,2552.1000000000004
Belgium,2012,12 ,Y25-74,1972.5
Belgium,2012,12 ,Y_LT25,765.9999999999999
Belgium,2013,01 ,TOTAL,2571.1000000000004
Belgium,2013,01 ,Y25-74,2004.4999999999998
Belgium,2013,01 ,Y_LT25,763.9
Belgium,2013,02 ,TOTAL,2561.8
Belgium,2013,02 ,Y25-74,1994.2
Belgium,2013,02 ,Y_LT25,763.9
Belgium,2013,03 ,TOTAL,2549.2
Belgium,2013,03 ,Y25-74,1972.4
Belgium,2013,03 ,Y_LT25,763.9
Belgium,2013,04 ,TOTAL,2550.2
Belgium,2013,04 ,Y25-74,1945.5
Belgium,2013,04 ,Y_LT25,801.3000000000001
Belgium,2013,05 ,TOTAL,2534.5
Belgium,2013,05 ,Y25-74,1926.9
Belgium,2013,05 ,Y_LT25,801.3000000000001
Belgium,2013,06 ,TOTAL,2528.3
Belgium,2013,06 ,Y25-74,1933.8
Belgium,2013,06 ,Y_LT25,801.3000000000001
Belgium,2013,07 ,TOTAL,2615.4
Belgium,2013,07 ,Y25-74,1997.6
Belgium,2013,07 ,Y_LT25,814.9
Belgium,2013,08 ,TOTAL,2631.0
Belgium,2013,08 ,Y25-74,2018.1
Belgium,2013,08 ,Y_LT25,814.9
Belgium,2013,09 ,TOTAL,2619.5999999999995
Belgium,2013,09 ,Y25-74,2007.9999999999998
Belgium,2013,09 ,Y_LT25,814.9
Belgium,2013,10 ,TOTAL,2584.3
Belgium,2013,10 ,Y25-74,1986.8999999999999
Belgium,2013,10 ,Y_LT25,806.1999999999999
Belgium,2013,11 ,TOTAL,2575.4
Belgium,2013,11 ,Y25-74,1978.7
Belgium,2013,11 ,Y_LT25,806.1999999999999
Belgium,2013,12 ,TOTAL,2605.1
Belgium,2013,12 ,Y25-74,1994.9999999999998
Belgium,2013,12 ,Y_LT25,806.1999999999999
Belgium,2014,01 ,TOTAL,2664.4
Belgium,2014,01 ,Y25-74,2031.8
Belgium,2014,01 ,Y_LT25,853.5
Belgium,2014,02 ,TOTAL,2658.8999999999996
Belgium,2014,02 ,Y25-74,2019.9999999999998
Belgium,2014,02 ,Y_LT25,853.5
Belgium,2014,03 ,TOTAL,2634.1000000000004
Belgium,2014,03 ,Y25-74,2004.4
Belgium,2014,03 ,Y_LT25,853.5
Belgium,2014,04 ,TOTAL,2598.8
Belgium,2014,04 ,Y25-74,1981.6
Belgium,2014,04 ,Y_LT25,791.7000000000002
Belgium,2014,05 ,TOTAL,2563.8
Belgium,2014,05 ,Y25-74,1974.3000000000002
Belgium,2014,05 ,Y_LT25,791.7000000000002
Belgium,2014,06 ,TOTAL,2550.7
Belgium,2014,06 ,Y25-74,2002.6000000000001
Belgium,2014,06 ,Y_LT25,791.7000000000002
Belgium,2014,07 ,TOTAL,2618.7
Belgium,2014,07 ,Y25-74,2085.0
Belgium,2014,07 ,Y_LT25,697.3000000000001
Belgium,2014,08 ,TOTAL,2630.9
Belgium,2014,08 ,Y25-74,2121.5
Belgium,2014,08 ,Y_LT25,697.3000000000001
Belgium,2014,09 ,TOTAL,2632.0
Belgium,2014,09 ,Y25-74,2117.3
Belgium,2014,09 ,Y_LT25,697.3000000000001
Belgium,2014,10 ,TOTAL,2620.7
Belgium,2014,10 ,Y25-74,2083.3
Belgium,2014,10 ,Y_LT25,726.1
Belgium,2014,11 ,TOTAL,2616.6
Belgium,2014,11 ,Y25-74,2070.8
Belgium,2014,11 ,Y_LT25,726.1
Belgium,2014,12 ,TOTAL,2627.6
Belgium,2014,12 ,Y25-74,2092.4
Belgium,2014,12 ,Y_LT25,726.1
Belgium,2015,01 ,TOTAL,2672.6000000000004
Belgium,2015,01 ,Y25-74,2156.9
Belgium,2015,01 ,Y_LT25,683.6999999999999
Belgium,2015,02 ,TOTAL,2697.2000000000003
Belgium,2015,02 ,Y25-74,2189.0
Belgium,2015,02 ,Y_LT25,683.6999999999999
Belgium,2015,03 ,TOTAL,2703.5
Belgium,2015,03 ,Y25-74,2196.4000000000005
Belgium,2015,03 ,Y_LT25,683.6999999999999
Belgium,2015,04 ,TOTAL,2660.5
Belgium,2015,04 ,Y25-74,2155.5
Belgium,2015,04 ,Y_LT25,671.3000000000001
Belgium,2015,05 ,TOTAL,2594.2
Belgium,2015,05 ,Y25-74,2100.7
Belgium,2015,05 ,Y_LT25,671.3000000000001
Belgium,2015,06 ,TOTAL,2533.4
Belgium,2015,06 ,Y25-74,2046.9999999999998
Belgium,2015,06 ,Y_LT25,671.3000000000001
Belgium,2015,07 ,TOTAL,2478.8
Belgium,2015,07 ,Y25-74,1983.8999999999999
Belgium,2015,07 ,Y_LT25,707.9000000000001
Belgium,2015,08 ,TOTAL,2461.1
Belgium,2015,08 ,Y25-74,1951.9
Belgium,2015,08 ,Y_LT25,707.9000000000001
Belgium,2015,09 ,TOTAL,2513.5
Belgium,2015,09 ,Y25-74,1955.9999999999998
Belgium,2015,09 ,Y_LT25,707.9000000000001
Belgium,2015,10 ,TOTAL,2635.0
Belgium,2015,10 ,Y25-74,2019.1
