Country,Year,Month,Value,Year_Month
Switzerland,2019,05 ,2683.4999999999995,2019M05 
Switzerland,2019,06 ,2679.7000000000007,2019M06 
Switzerland,2019,07 ,2775.3,2019M07 
Switzerland,2019,08 ,2826.9000000000005,2019M08 
Switzerland,2019,09 ,2750.7,2019M09 
Switzerland,2019,10 ,2540.7000000000003,2019M10 
Switzerland,2019,11 ,2479.4,2019M11 
Switzerland,2019,12 ,2542.3000000000006,2019M12 
Switzerland,2020,01 ,2644.4999999999995,2020M01 
Switzerland,2020,02 ,2651.6,2020M02 
Switzerland,2020,03 ,2798.7000000000003,2020M03 
Switzerland,2020,04 ,0.0,2020M04 
Switzerland,2020,05 ,0.0,2020M05 
Switzerland,2020,06 ,0.0,2020M06 
Turkey,2019,01 ,26796.4,2019M01 
